s1_name,patch_id,latitude,longitude,country,season,climate_zone
S1B_IW_GRDH_1SDV_20170613T044822_34VER_51_51,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_51_51,63.46717354908637,22.23958966232822,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_54_50,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_54_50,63.47729680565597,22.312293373620623,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_54_64,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_54_64,63.326559959814965,22.305424528740264,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_54_66,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_54_66,63.30502582921572,22.304449864200574,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_55_44,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_55_44,63.54167386613499,22.33939491224737,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_58_54,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_58_54,63.43331608639576,22.406488844542782,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_60_39,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_60_39,63.59432615575392,22.46281115753233,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_60_54,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_60_54,63.43283513661111,22.45456934312231,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_60_66,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_60_66,63.30363925254996,22.448050678844396,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_31,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_31,63.68020374838928,22.491498812843197,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_38,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_38,63.6048436816402,22.48754913362119,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_39,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_39,63.59407788179201,22.486986809862717,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_40,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_40,63.583312062933175,22.48642496338955,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_61_42,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_61_42,63.56178036817818,22.485302699979798,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_62_23,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_62_23,63.766074149013335,22.520363912139395,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_62_32,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_62_32,63.66918490768345,22.515172406155326,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_62_66,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_62_66,63.30314492134459,22.495914061399173,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_66_25,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_66_25,63.743486353220035,22.616416810451263,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170613T044822_34VER_66_34,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_66_34,63.64660123902409,22.610902862294573,Finland,Summer,"Cold, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_24_37,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_24_37,52.829566089416836,-7.079290725003096,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_31_47,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_31_47,52.719675287464696,-6.9597406747874295,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_31_52,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_31_52,52.66577008092804,-6.962253041381423,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_34_55,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_34_55,52.63250081949433,-6.910598147863212,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_35_32,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_35_32,52.88013654913823,-6.880874975609562,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_36_23,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_36_23,52.97683644003206,-6.858270386639253,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_38_45,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_38_45,52.739031250387974,-6.834396202034435,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_38_49,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_38_49,52.69591073666084,-6.836531688735711,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_49_34,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_49_34,52.853865103134815,-6.632611247958051,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_51_51,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_51_51,52.66991834036294,-6.607070763014847,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_53_27,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_53_27,52.927867055127734,-6.5571515575916015,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_53_47,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_53_47,52.71230943066175,-6.569216073803148,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170616T180538_29UPU_55_23,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_23,52.9702371879024,-6.519015452416433,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_55_24,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_24,52.959459925498294,-6.519632756117852,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_55_32,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_32,52.87324093786418,-6.524557012922566,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_55_55,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_55,52.625352559363336,-6.538575170050467,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064659_29UPU_58_23,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_58_23,52.96910677388782,-6.465461415040855,Ireland,Summer,"Temperate, no dry season, cold summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_58_28,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_58_28,52.91522240986163,-6.468610360529573,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_58_34,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_58_34,52.85056035166302,-6.4723758471556945,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_60_43,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_60_43,52.75280451789218,-6.442472559552287,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170617T064724_29UPU_62_35,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_62_35,52.838245723054165,-6.40181415273497,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_31_50,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_31_50,62.55991890777563,29.68079063966262,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_31_54,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_31_54,62.51688178536432,29.676921635207137,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_32_24,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_32_24,62.83919593171574,29.729786571028086,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_33_28,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_33_28,62.79570475649708,29.749299498285442,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_34_60,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_34_60,62.450972761414405,29.740831067027713,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_35_52,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_35_52,62.53658259479143,29.7720394085636,Finland,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_40_30,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_40_30,62.77087881536524,29.911649820933597,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_45_44,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_45_44,62.617815711215506,30.01364837451151,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_50_45,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_50_45,62.60449809282319,30.12926995838293,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_52_56,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_52_56,62.48514605486286,30.163358218286724,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_54_35,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_54_35,62.70991658649786,30.234337366630925,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_57_29,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_57_29,62.77279559862867,30.311823586573034,Finland,Summer,"Cold, no dry season, cold summer"
S1B_IW_GRDH_1SDV_20170629T153202_35VPK_63_44,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_63_44,62.608134889484774,30.433855214283604,Finland,Summer,"Cold, no dry season, cold summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_23_24,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_23_24,39.484900509037615,-8.672316837271998,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_23_25,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_23_25,39.47408795033579,-8.672367568882317,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_42,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_42,39.29005531217969,-8.603651497994973,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_66,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_66,39.030541580943236,-8.6051050197067,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064300_29SND_29_47,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_29_47,39.23594280510464,-8.590051774963298,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_36_26,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_36_26,39.46262320166898,-8.491079749144152,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064300_29SND_37_54,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_54,39.15980851816679,-8.479379302929656,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_39_31,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_31,39.40837096024113,-8.449658865806404,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_40_41,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_41,39.300179745488435,-8.436590045092926,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170706T183432_29SND_45_44,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_44,39.26738490576732,-8.367300289124348,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170706T183432_29SND_52_64,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_52_64,39.05056605110259,-8.27216475024295,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_53_23,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_53_23,39.49377923051941,-8.253609387571956,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_53_25,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_53_25,39.472155610345744,-8.253840503981765,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064235_29SND_54_25,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_54_25,39.47206526045618,-8.239890391940794,Portugal,Summer,"Temperate, dry summer, hot summer"
S1A_IW_GRDH_1SDV_20170706T064300_29SND_54_49,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_54_49,39.212576268901586,-8.242695939130922,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_59_34,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_59_34,39.3742830577623,-8.171294041857402,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_63_56,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_63_56,39.13601179409512,-8.11855665710728,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_65_36,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_65_36,39.35203462215028,-8.087994388005454,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_66_27,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_66_27,39.449227850142115,-8.072781283371073,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_66_52,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_66_52,39.17893709109488,-8.076342330946595,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_68_40,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_68_40,39.30845367803381,-8.04680517740733,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170701T182622_29SND_68_47,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_68_47,39.23277228996328,-8.047830034830294,Portugal,Summer,"Temperate, dry summer, hot summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_23_37,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_23_37,53.727887594598776,-7.0567659868060675,Ireland,Summer,"Temperate, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170716T180622_29UPV_26_23,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_26_23,53.877900404642425,-6.99504474798635,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_28_35,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_28_35,53.74793713331821,-6.964839070951841,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_30_44,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_30_44,53.65030277099229,-6.933228645986385,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_31_60,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_31_60,53.47752132868634,-6.923553104338542,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_34_30,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_34_30,53.79992585886564,-6.852982561901786,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_34_50,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_34_50,53.584355497886826,-6.863927469995982,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_35_55,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_35_55,53.53013718224858,-6.848550672300084,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_36_51,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_36_51,53.572924447865525,-6.828252765169759,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_37_37,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_37_37,53.72348935386593,-6.802308620579627,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_37_58,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_37_58,53.497144884762555,-6.814035399104434,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_38_65,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_38_65,53.421363246693225,-6.799864908802446,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_39_45,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_39_45,53.63659381733491,-6.770523434082154,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_41_43,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_41_43,53.65746793002134,-6.733097240990346,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_42_54,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_42_54,53.538568547731145,-6.721345464243521,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_44_48,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_44_48,53.602537984370805,-6.681624681813784,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_46_39,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_46_39,53.69882306593762,-6.639973326637814,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_47_34,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_47_34,53.75234717803406,-6.618769077108662,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_47_66,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_47_66,53.40748269799544,-6.638081677623744,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_50_64,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_50_64,53.4279536204493,-6.582752581176,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064605_29UPV_52_24,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_52_24,53.85826349545006,-6.5215072759058454,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_52_58,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_52_58,53.49187686063096,-6.54293309503147,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_56_45,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_56_45,53.630452966908145,-6.462278817034563,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_57_45,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_57_45,53.63006704280835,-6.444150411059767,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_58_60,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_58_60,53.46804636900188,-6.435817519373205,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_61_51,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_61_51,53.56384656133838,-6.375653276037459,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064605_29UPV_64_26,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_64_26,53.83199669113842,-6.304190412802879,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170717T064630_29UPV_68_56,S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_68_56,53.50712860002788,-6.252463790769051,Ireland,Summer,"Temperate, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_51,S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_51,55.389855603469826,20.62365801198973,Lithuania,Summer,"Cold, no dry season, warm summer"
S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_55,S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_55,55.34693369604224,20.699756971983227,Lithuania,Summer,"Cold, no dry season, warm summer"
S1A_IW_GRDH_1SDV_20170802T163350_34TCR_32_32,S2A_MSIL2A_20170803T094031_N9999_R036_T34TCR_32_32,45.68384217747117,18.932498320822276,Serbia,Summer,"Temperate, no dry season, hot summer"
